Target.node	Source.node	Relationship	layer
P07384	P61586	inhibits>	bindingprot-tf
P17535	P45983	stimulates>	bindingprot-tf
P78527	Q05655	inhibits>	bindingprot-tf
Q14847	P12931	stimulates>	bindingprot-tf
P04626	O14672	stimulates>	bindingprot-tf
P46531	Q13761	inhibits>	bindingprot-tf
P19793	P17612	inhibits>	bindingprot-tf
P00519	Q05209	inhibits>	bindingprot-tf
Q13523	P51812	inhibits>	bindingprot-tf
P51692	P12931	stimulates>	bindingprot-tf
Q14814	Q13627	inhibits>	bindingprot-tf
P28347	P17612	inhibits>	bindingprot-tf
Q08050	Q00534	inhibits>	bindingprot-tf
Q14209	P06400	inhibits>	bindingprot-tf
P15260	P17181	stimulates>	bindingprot-tf
P08047	P04792	stimulates>	bindingprot-tf
P11473	P05771	inhibits>	bindingprot-tf
O14965	P17252	inhibits>	bindingprot-tf
P04637	O43293	stimulates>	bindingprot-tf
Q12968	P45983	inhibits>	bindingprot-tf
Q04864	Q14164	stimulates>	bindingprot-tf
P18848	P51812	stimulates>	bindingprot-tf
Q9Y6Q9	P49674	inhibits>	bindingprot-tf
P78347	P12931	stimulates>	bindingprot-tf
P35222	P53350	inhibits>	bindingprot-tf
P04150	Q16539	stimulates>	bindingprot-tf
P04150	P45984	stimulates>	bindingprot-tf
P37231	Q15596	stimulates>	bindingprot-tf
P51692	P18031	inhibits>	bindingprot-tf
Q14653	Q9UHD2	stimulates>	bindingprot-tf
P49023	Q06124	inhibits>	bindingprot-tf
Q04206	P49841	stimulates>	bindingprot-tf
O43318	P67775	inhibits>	bindingprot-tf
Q02078	P49841	inhibits>	bindingprot-tf
P35222	P48730	stimulates>	bindingprot-tf
P19838	Q15653	inhibits>	bindingprot-tf
P29597	P48551	stimulates>	bindingprot-tf
P49715	P49840	inhibits>	bindingprot-tf
P46531	Q13526	stimulates>	bindingprot-tf
P46531	P67809	inhibits>	bindingprot-tf
Q9UBE8	Q9NPG1	stimulates>	bindingprot-tf
P37231	P27361	inhibits>	bindingprot-tf
P21860	P17181	inhibits>	bindingprot-tf
Q12968	P16298	stimulates>	bindingprot-tf
P38398	P42574	inhibits>	bindingprot-tf
P22681	P07947	stimulates>	bindingprot-tf
Q05655	P17252	inhibits>	bindingprot-tf
P84022	P27361	stimulates>	bindingprot-tf
Q13485	P36507	inhibits>	bindingprot-tf
Q12968	P49674	inhibits>	bindingprot-tf
P26358	P04637	inhibits>	bindingprot-tf
P49023	P41240	stimulates>	bindingprot-tf
P24385	P00533	stimulates>	bindingprot-tf
P35222	P54646	inhibits>	bindingprot-tf
P07948	P17252	inhibits>	bindingprot-tf
P05412	P84022	stimulates>	bindingprot-tf
P04626	Q96JA1	stimulates>	bindingprot-tf
Q13233	P67775	inhibits>	bindingprot-tf
P31749	P45983	stimulates>	bindingprot-tf
P42224	Q13555	stimulates>	bindingprot-tf
Q16665	Q13315	stimulates>	bindingprot-tf
Q06124	P78324	inhibits>	bindingprot-tf
P40763	P29597	stimulates>	bindingprot-tf
P01106	P11309	stimulates>	bindingprot-tf
P31751	Q15118	stimulates>	bindingprot-tf
Q02446	P05771	inhibits>	bindingprot-tf
P06213	P17252	stimulates>	bindingprot-tf
Q06413	Q16539	stimulates>	bindingprot-tf
Q9HBY8	O15530	stimulates>	bindingprot-tf
Q16236	Q96EB6	inhibits>	bindingprot-tf
O95997	P45983	inhibits>	bindingprot-tf
P23469	P04626	inhibits>	bindingprot-tf
P18031	P61586	inhibits>	bindingprot-tf
P56945	P46108	inhibits>	bindingprot-tf
P52735	P08069	stimulates>	bindingprot-tf
P15923	P01116	stimulates>	bindingprot-tf
Q15717	Q05655	stimulates>	bindingprot-tf
P10828	P28482	inhibits>	bindingprot-tf
P29353	P43405	stimulates>	bindingprot-tf
P11274	P18031	inhibits>	bindingprot-tf
Q01201	Q00653	stimulates>	bindingprot-tf
P23246	Q9Y2W1	inhibits>	bindingprot-tf
Q13618	P45983	inhibits>	bindingprot-tf
Q03060	P27361	inhibits>	bindingprot-tf
P78527	P45983	inhibits>	bindingprot-tf
P51692	P29597	stimulates>	bindingprot-tf
Q15796	P37173	stimulates>	bindingprot-tf
P38398	P62136	inhibits>	bindingprot-tf
Q04206	P51812	inhibits>	bindingprot-tf
P15923	P46531	inhibits>	bindingprot-tf
P16591	P12931	inhibits>	bindingprot-tf
Q05397	P08069	stimulates>	bindingprot-tf
P06213	P29353	inhibits>	bindingprot-tf
P12931	O15530	inhibits>	bindingprot-tf
P15036	P45984	inhibits>	bindingprot-tf
P05412	Q16539	stimulates>	bindingprot-tf
P05412	P45984	stimulates>	bindingprot-tf
Q15910	Q9C0B5	inhibits>	bindingprot-tf
Q16236	P28482	inhibits>	bindingprot-tf
P04637	Q15831	stimulates>	bindingprot-tf
Q15797	Q05655	inhibits>	bindingprot-tf
Q12800	P28482	inhibits>	bindingprot-tf
Q9UJU2	Q04724	inhibits>	bindingprot-tf
Q05209	P51812	inhibits>	bindingprot-tf
P51452	P29597	stimulates>	bindingprot-tf
P01106	P49841	inhibits>	bindingprot-tf
P78324	P08069	stimulates>	bindingprot-tf
Q04206	P42574	inhibits>	bindingprot-tf
Q16236	Q13263	inhibits>	bindingprot-tf
P01106	Q08050	stimulates>	bindingprot-tf
P04637	Q16665	inhibits>	bindingprot-tf
P29323	P04626	inhibits>	bindingprot-tf
Q9Y5Q3	P49841	stimulates>	bindingprot-tf
Q13469	P17252	inhibits>	bindingprot-tf
P52630	P23458	stimulates>	bindingprot-tf
O94916	P00519	inhibits>	bindingprot-tf
P37231	P24468	inhibits>	bindingprot-tf
P27361	P17252	stimulates>	bindingprot-tf
O94916	P29350	inhibits>	bindingprot-tf
Q8N726	P17252	inhibits>	bindingprot-tf
P42224	Q13287	stimulates>	bindingprot-tf
P04637	Q16539	stimulates>	bindingprot-tf
P04637	P45984	stimulates>	bindingprot-tf
P17676	P84022	inhibits>	bindingprot-tf
P36956	P08047	stimulates>	bindingprot-tf
P35222	P49674	inhibits>	bindingprot-tf
P05412	Q09472	inhibits>	bindingprot-tf
P16220	P49840	stimulates>	bindingprot-tf
P22681	P43405	stimulates>	bindingprot-tf
Q04721	O14672	stimulates>	bindingprot-tf
P19174	Q14118	inhibits>	bindingprot-tf
P41235	P51812	inhibits>	bindingprot-tf
Q05209	P56945	inhibits>	bindingprot-tf
Q8N726	Q15910	inhibits>	bindingprot-tf
P29350	P12931	stimulates>	bindingprot-tf
P06733	P29466	inhibits>	bindingprot-tf
P45983	Q01974	stimulates>	bindingprot-tf
P17096	P45984	inhibits>	bindingprot-tf
Q00987	P51812	inhibits>	bindingprot-tf
P42224	Q16539	stimulates>	bindingprot-tf
P42224	P45984	stimulates>	bindingprot-tf
P49715	P84022	inhibits>	bindingprot-tf
P06213	Q05397	inhibits>	bindingprot-tf
P14921	Q16236	inhibits>	bindingprot-tf
P11831	P36402	stimulates>	bindingprot-tf
Q9Y4K3	Q04721	inhibits>	bindingprot-tf
Q12772	P29466	stimulates>	bindingprot-tf
P29353	Q05397	stimulates>	bindingprot-tf
P63000	P31431	stimulates>	bindingprot-tf
P41235	P54646	inhibits>	bindingprot-tf
P42224	Q14164	stimulates>	bindingprot-tf
P35222	Q9H1B7	inhibits>	bindingprot-tf
Q13153	O60674	inhibits>	bindingprot-tf
Q14694	Q14457	stimulates>	bindingprot-tf
Q00534	P24385	stimulates>	bindingprot-tf
P07384	P51812	inhibits>	bindingprot-tf
Q08999	P51812	inhibits>	bindingprot-tf
Q15797	Q04771	stimulates>	bindingprot-tf
Q9Y6K9	P45983	inhibits>	bindingprot-tf
P17706	P40763	inhibits>	bindingprot-tf
Q9Y6Q9	P00519	stimulates>	bindingprot-tf
Q04721	Q9NR61	stimulates>	bindingprot-tf
P36507	O15530	stimulates>	bindingprot-tf
P63000	O14640	stimulates>	bindingprot-tf
Q13671	P51812	inhibits>	bindingprot-tf
Q04206	Q8N6T7	inhibits>	bindingprot-tf
P16220	Q13315	inhibits>	bindingprot-tf
Q14814	Q16539	stimulates>	bindingprot-tf
P08047	Q13315	stimulates>	bindingprot-tf
P04637	Q15717	stimulates>	bindingprot-tf
Q9Y618	Q09472	inhibits>	bindingprot-tf
P49137	P45983	inhibits>	bindingprot-tf
P00533	Q05655	inhibits>	bindingprot-tf
P12931	P23469	stimulates>	bindingprot-tf
P29353	P08069	stimulates>	bindingprot-tf
Q15648	Q16539	inhibits>	bindingprot-tf
P62993	P08581	stimulates>	bindingprot-tf
P16220	Q9HBY8	inhibits>	bindingprot-tf
Q9UBS0	P17252	inhibits>	bindingprot-tf
O14744	O60674	inhibits>	bindingprot-tf
P10301	P46531	stimulates>	bindingprot-tf
P04626	Q9UJM3	inhibits>	bindingprot-tf
P11831	Q13976	stimulates>	bindingprot-tf
Q04206	Q96EB6	inhibits>	bindingprot-tf
P04637	Q13547	inhibits>	bindingprot-tf
Q15596	P27361	inhibits>	bindingprot-tf
P11274	P00533	inhibits>	bindingprot-tf
P27986	P21860	stimulates>	bindingprot-tf
Q03135	P18031	inhibits>	bindingprot-tf
P11802	P45983	inhibits>	bindingprot-tf
P18847	P04637	stimulates>	bindingprot-tf
Q01201	Q96EB6	inhibits>	bindingprot-tf
P01100	P12931	stimulates>	bindingprot-tf
O94875	P22681	inhibits>	bindingprot-tf
Q15596	Q16539	inhibits>	bindingprot-tf
Q13363	Q13153	stimulates>	bindingprot-tf
Q14814	P27348	stimulates>	bindingprot-tf
P11473	P28702	stimulates>	bindingprot-tf
Q15831	P51812	inhibits>	bindingprot-tf
P43405	P40763	inhibits>	bindingprot-tf
P22607	P08069	inhibits>	bindingprot-tf
P17612	Q15118	stimulates>	bindingprot-tf
P19419	P48454	inhibits>	bindingprot-tf
P46108	Q13480	inhibits>	bindingprot-tf
O00571	P08069	inhibits>	bindingprot-tf
P10828	P10588	stimulates>	bindingprot-tf
P38398	Q92878	stimulates>	bindingprot-tf
Q15910	P49841	inhibits>	bindingprot-tf
O43524	O15111	inhibits>	bindingprot-tf
P00519	P49023	inhibits>	bindingprot-tf
P24468	P19793	inhibits>	bindingprot-tf
P01112	P42336	inhibits>	bindingprot-tf
P15036	Q13233	inhibits>	bindingprot-tf
P22736	P35222	stimulates>	bindingprot-tf
P67809	P06213	inhibits>	bindingprot-tf
P00533	Q96JA1	inhibits>	bindingprot-tf
P40763	P17252	stimulates>	bindingprot-tf
O75444	P49840	stimulates>	bindingprot-tf
Q02447	P27361	stimulates>	bindingprot-tf
P16298	P0DP25	stimulates>	bindingprot-tf
Q93008	P00533	inhibits>	bindingprot-tf
Q9Y618	Q04206	inhibits>	bindingprot-tf
O43524	P35222	stimulates>	bindingprot-tf
O43474	P35222	stimulates>	bindingprot-tf
P05114	P51812	inhibits>	bindingprot-tf
P00533	P04626	inhibits>	bindingprot-tf
P06213	Q06124	inhibits>	bindingprot-tf
P38398	P31749	stimulates>	bindingprot-tf
P46531	P49841	stimulates>	bindingprot-tf
P51617	Q9Y4K3	inhibits>	bindingprot-tf
Q06413	Q92793	stimulates>	bindingprot-tf
P40763	P45983	stimulates>	bindingprot-tf
P56945	Q05397	stimulates>	bindingprot-tf
Q03135	P67775	inhibits>	bindingprot-tf
O14641	Q13467	stimulates>	bindingprot-tf
P42229	Q09472	stimulates>	bindingprot-tf
Q9Y5Q3	P45983	inhibits>	bindingprot-tf
P78504	Q04721	inhibits>	bindingprot-tf
P35638	Q13131	inhibits>	bindingprot-tf
P84022	O15105	stimulates>	bindingprot-tf
P43405	P22681	inhibits>	bindingprot-tf
Q01130	P17612	inhibits>	bindingprot-tf
P40763	P23458	stimulates>	bindingprot-tf
P07948	P41240	inhibits>	bindingprot-tf
Q15796	Q09472	stimulates>	bindingprot-tf
Q99626	Q08050	inhibits>	bindingprot-tf
Q9Y618	O15111	inhibits>	bindingprot-tf
P31749	P05556	inhibits>	bindingprot-tf
Q15910	P31749	inhibits>	bindingprot-tf
P24468	P04150	stimulates>	bindingprot-tf
P06400	Q00534	inhibits>	bindingprot-tf
Q99697	P31751	inhibits>	bindingprot-tf
P10244	Q9UBW7	stimulates>	bindingprot-tf
P29597	P10912	stimulates>	bindingprot-tf
P04083	P21860	inhibits>	bindingprot-tf
P17676	P42684	stimulates>	bindingprot-tf
P04626	Q06124	inhibits>	bindingprot-tf
Q02078	Q99623	inhibits>	bindingprot-tf
Q14847	P51812	inhibits>	bindingprot-tf
Q9Y618	Q12778	inhibits>	bindingprot-tf
P15336	Q9Y297	inhibits>	bindingprot-tf
P42226	Q92793	stimulates>	bindingprot-tf
P05412	Q92793	stimulates>	bindingprot-tf
P01106	Q96AE4	stimulates>	bindingprot-tf
P51692	P23458	stimulates>	bindingprot-tf
Q9Y2W1	P78527	inhibits>	bindingprot-tf
Q06945	O00560	stimulates>	bindingprot-tf
P51858	P49674	inhibits>	bindingprot-tf
Q13133	Q03181	stimulates>	bindingprot-tf
Q02078	Q16539	stimulates>	bindingprot-tf
O15530	P17252	inhibits>	bindingprot-tf
Q9NR61	P46531	inhibits>	bindingprot-tf
Q16665	P28482	stimulates>	bindingprot-tf
P01100	O14920	inhibits>	bindingprot-tf
P35222	P00519	stimulates>	bindingprot-tf
P17535	P49841	inhibits>	bindingprot-tf
Q06330	Q13573	stimulates>	bindingprot-tf
P36956	Q13131	inhibits>	bindingprot-tf
Q15418	P51812	inhibits>	bindingprot-tf
P35222	P05771	inhibits>	bindingprot-tf
Q92993	Q00987	inhibits>	bindingprot-tf
Q06413	P17612	inhibits>	bindingprot-tf
Q06413	P56524	inhibits>	bindingprot-tf
Q16665	P27540	stimulates>	bindingprot-tf
P00533	P22681	stimulates>	bindingprot-tf
Q15796	P67775	stimulates>	bindingprot-tf
P41240	P16144	stimulates>	bindingprot-tf
P16220	P17676	stimulates>	bindingprot-tf
P04637	Q92793	stimulates>	bindingprot-tf
Q14653	Q13526	inhibits>	bindingprot-tf
Q96KS0	P17252	inhibits>	bindingprot-tf
Q12778	P51812	inhibits>	bindingprot-tf
Q01130	P51812	inhibits>	bindingprot-tf
P31749	Q15118	stimulates>	bindingprot-tf
P17535	P27361	stimulates>	bindingprot-tf
P38398	P17252	inhibits>	bindingprot-tf
Q05655	Q15118	inhibits>	bindingprot-tf
P53004	Q05655	inhibits>	bindingprot-tf
P0DP23	P00533	inhibits>	bindingprot-tf
P11831	P49137	stimulates>	bindingprot-tf
Q96J02	P45983	stimulates>	bindingprot-tf
P61925	P00533	stimulates>	bindingprot-tf
P29597	P18031	stimulates>	bindingprot-tf
Q9UJU2	P45983	inhibits>	bindingprot-tf
P36507	P67775	inhibits>	bindingprot-tf
P35222	P49841	inhibits>	bindingprot-tf
P04637	P41182	inhibits>	bindingprot-tf
Q13485	O75925	stimulates>	bindingprot-tf
P52926	Q13315	stimulates>	bindingprot-tf
Q92793	P35222	inhibits>	bindingprot-tf
P12830	Q15910	inhibits>	bindingprot-tf
P25963	P18031	inhibits>	bindingprot-tf
P38398	Q15910	inhibits>	bindingprot-tf
Q03933	Q13618	inhibits>	bindingprot-tf
P07948	P19174	inhibits>	bindingprot-tf
Q06124	P52735	inhibits>	bindingprot-tf
Q16665	P48730	inhibits>	bindingprot-tf
P17676	P17612	inhibits>	bindingprot-tf
Q13153	O15530	stimulates>	bindingprot-tf
P45983	P78527	stimulates>	bindingprot-tf
O60674	P15260	stimulates>	bindingprot-tf
P19793	P49841	inhibits>	bindingprot-tf
P08047	P45983	stimulates>	bindingprot-tf
P10242	Q9UBE8	inhibits>	bindingprot-tf
P01112	P12931	stimulates>	bindingprot-tf
P63098	P0DP25	stimulates>	bindingprot-tf
P19793	Q03181	inhibits>	bindingprot-tf
P35222	P46937	stimulates>	bindingprot-tf
O75469	P41235	inhibits>	bindingprot-tf
Q12955	O94856	stimulates>	bindingprot-tf
P07384	P05556	inhibits>	bindingprot-tf
P14921	P04637	inhibits>	bindingprot-tf
P14618	Q00534	inhibits>	bindingprot-tf
Q15796	P98082	stimulates>	bindingprot-tf
P12931	P04899	stimulates>	bindingprot-tf
Q9UJU2	P49674	inhibits>	bindingprot-tf
P04150	P22736	inhibits>	bindingprot-tf
P40763	Q13555	inhibits>	bindingprot-tf
P21860	P16144	inhibits>	bindingprot-tf
Q9Y618	Q13573	inhibits>	bindingprot-tf
P42229	P29350	inhibits>	bindingprot-tf
P07948	P63096	inhibits>	bindingprot-tf
Q96EB6	P45983	stimulates>	bindingprot-tf
O14640	P31431	stimulates>	bindingprot-tf
P42229	P00533	stimulates>	bindingprot-tf
P14921	P27361	stimulates>	bindingprot-tf
P49841	Q02750	stimulates>	bindingprot-tf
P01106	Q16539	stimulates>	bindingprot-tf
P01106	P45984	stimulates>	bindingprot-tf
P46531	Q9UIW2	inhibits>	bindingprot-tf
P19419	P45983	stimulates>	bindingprot-tf
Q16236	P17275	inhibits>	bindingprot-tf
P04792	P67775	inhibits>	bindingprot-tf
P42226	O60674	stimulates>	bindingprot-tf
P06733	P12931	stimulates>	bindingprot-tf
Q92908	P31751	inhibits>	bindingprot-tf
Q01844	P28482	inhibits>	bindingprot-tf
Q9Y6Q9	P49840	inhibits>	bindingprot-tf
Q00059	P17612	stimulates>	bindingprot-tf
Q06124	P35568	inhibits>	bindingprot-tf
P15884	Q12778	inhibits>	bindingprot-tf
P15336	P45983	stimulates>	bindingprot-tf
P41182	Q13526	stimulates>	bindingprot-tf
O75469	P19793	inhibits>	bindingprot-tf
P84022	Q13705	stimulates>	bindingprot-tf
P41743	P67775	inhibits>	bindingprot-tf
Q16236	Q9NZJ5	stimulates>	bindingprot-tf
Q08209	P0DP25	stimulates>	bindingprot-tf
Q9NQB0	Q13363	inhibits>	bindingprot-tf
Q92908	P28482	inhibits>	bindingprot-tf
Q12933	P20333	stimulates>	bindingprot-tf
P20936	P08069	stimulates>	bindingprot-tf
P38398	Q99708	inhibits>	bindingprot-tf
Q15118	P11362	stimulates>	bindingprot-tf
P43354	P35222	stimulates>	bindingprot-tf
O60381	Q16539	stimulates>	bindingprot-tf
P17275	P40763	stimulates>	bindingprot-tf
P22736	P51812	inhibits>	bindingprot-tf
P16220	Q15796	stimulates>	bindingprot-tf
P00519	Q13188	inhibits>	bindingprot-tf
P46531	Q96EB6	inhibits>	bindingprot-tf
P19793	P55055	stimulates>	bindingprot-tf
P00519	Q13671	inhibits>	bindingprot-tf
P15336	P07954	stimulates>	bindingprot-tf
P53355	P17252	inhibits>	bindingprot-tf
P08047	P10599	stimulates>	bindingprot-tf
P08047	P28482	stimulates>	bindingprot-tf
O43524	P29353	inhibits>	bindingprot-tf
P04049	P12931	stimulates>	bindingprot-tf
Q14814	P17612	inhibits>	bindingprot-tf
P04626	P08581	inhibits>	bindingprot-tf
Q14814	P56524	inhibits>	bindingprot-tf
P15923	P28482	inhibits>	bindingprot-tf
P0DP25	P00533	inhibits>	bindingprot-tf
P42224	O60674	stimulates>	bindingprot-tf
P25208	P04637	inhibits>	bindingprot-tf
Q02750	P51812	inhibits>	bindingprot-tf
O60716	P08069	inhibits>	bindingprot-tf
P12931	P17252	inhibits>	bindingprot-tf
P27986	P00533	stimulates>	bindingprot-tf
Q9Y297	P25963	inhibits>	bindingprot-tf
P17535	Q16539	inhibits>	bindingprot-tf
P08047	O00571	stimulates>	bindingprot-tf
P17706	P12931	inhibits>	bindingprot-tf
Q04206	Q05513	stimulates>	bindingprot-tf
P16220	O75676	stimulates>	bindingprot-tf
Q00613	Q13555	inhibits>	bindingprot-tf
Q92993	P00519	inhibits>	bindingprot-tf
P04049	P18031	inhibits>	bindingprot-tf
P09467	P17252	inhibits>	bindingprot-tf
P25963	P00533	inhibits>	bindingprot-tf
Q7KZF4	P45983	inhibits>	bindingprot-tf
P31751	P67775	inhibits>	bindingprot-tf
Q9NYF8	P51812	inhibits>	bindingprot-tf
O00548	P46531	inhibits>	bindingprot-tf
P23443	P42336	stimulates>	bindingprot-tf
Q8WUI4	P51812	inhibits>	bindingprot-tf
Q05513	Q15118	stimulates>	bindingprot-tf
Q13469	P45984	inhibits>	bindingprot-tf
P62140	P78527	inhibits>	bindingprot-tf
P05412	P28482	stimulates>	bindingprot-tf
P06756	Q13444	inhibits>	bindingprot-tf
Q06413	P78527	inhibits>	bindingprot-tf
Q9BXK1	P12931	inhibits>	bindingprot-tf
Q13887	Q14258	inhibits>	bindingprot-tf
P00519	P16333	inhibits>	bindingprot-tf
Q05209	Q14289	inhibits>	bindingprot-tf
P07900	P40763	stimulates>	bindingprot-tf
P19838	O43318	stimulates>	bindingprot-tf
Q16539	P67775	inhibits>	bindingprot-tf
P40763	P17706	inhibits>	bindingprot-tf
Q01196	Q00534	stimulates>	bindingprot-tf
P05556	Q13444	stimulates>	bindingprot-tf
P36894	P12643	stimulates>	bindingprot-tf
Q92793	P17252	inhibits>	bindingprot-tf
P40763	P49137	inhibits>	bindingprot-tf
Q15797	Q9P0J1	inhibits>	bindingprot-tf
P05412	P01100	stimulates>	bindingprot-tf
Q96ST3	Q12986	stimulates>	bindingprot-tf
P67775	P12931	inhibits>	bindingprot-tf
Q16236	Q9Y5S8	inhibits>	bindingprot-tf
P78504	P15529	inhibits>	bindingprot-tf
Q15910	Q16539	stimulates>	bindingprot-tf
P28482	P53355	inhibits>	bindingprot-tf
P04637	P28482	stimulates>	bindingprot-tf
P22415	P78347	stimulates>	bindingprot-tf
Q16254	P17676	stimulates>	bindingprot-tf
O15198	P36894	stimulates>	bindingprot-tf
P63000	P45983	inhibits>	bindingprot-tf
P04150	P37231	stimulates>	bindingprot-tf
Q9BUB5	P67775	inhibits>	bindingprot-tf
Q16665	P06400	stimulates>	bindingprot-tf
Q00653	Q13315	inhibits>	bindingprot-tf
P00519	P49841	inhibits>	bindingprot-tf
P51692	P17706	inhibits>	bindingprot-tf
P53355	P0DP24	stimulates>	bindingprot-tf
Q14653	P78527	stimulates>	bindingprot-tf
P10827	P51812	inhibits>	bindingprot-tf
Q13671	P0DP25	stimulates>	bindingprot-tf
P42224	P28482	stimulates>	bindingprot-tf
P43405	Q14247	inhibits>	bindingprot-tf
Q99814	O15530	inhibits>	bindingprot-tf
P04150	Q13315	inhibits>	bindingprot-tf
P00533	P07355	inhibits>	bindingprot-tf
P84022	P16220	stimulates>	bindingprot-tf
Q01844	P05771	inhibits>	bindingprot-tf
P46937	Q14164	inhibits>	bindingprot-tf
P08069	P04899	inhibits>	bindingprot-tf
P28698	P27361	inhibits>	bindingprot-tf
P40818	P00533	inhibits>	bindingprot-tf
Q03181	P19793	stimulates>	bindingprot-tf
O15516	P49841	inhibits>	bindingprot-tf
P04150	P07900	inhibits>	bindingprot-tf
Q9NYF8	P45983	inhibits>	bindingprot-tf
P43405	P00533	inhibits>	bindingprot-tf
P42224	Q13263	stimulates>	bindingprot-tf
P49023	Q13153	stimulates>	bindingprot-tf
Q99717	Q04771	stimulates>	bindingprot-tf
P55055	P37231	stimulates>	bindingprot-tf
P12931	P29323	stimulates>	bindingprot-tf
Q16254	Q08999	stimulates>	bindingprot-tf
P19838	P20749	stimulates>	bindingprot-tf
O43474	P15941	stimulates>	bindingprot-tf
Q13485	P27361	stimulates>	bindingprot-tf
P04637	P62136	inhibits>	bindingprot-tf
P98082	Q05655	inhibits>	bindingprot-tf
Q15797	P50750	inhibits>	bindingprot-tf
Q05195	P31749	inhibits>	bindingprot-tf
Q06124	Q14289	inhibits>	bindingprot-tf
P14618	P00533	inhibits>	bindingprot-tf
P15884	Q02535	inhibits>	bindingprot-tf
P23511	P01106	inhibits>	bindingprot-tf
P41182	Q13153	inhibits>	bindingprot-tf
P08047	P60484	inhibits>	bindingprot-tf
P00519	P06400	inhibits>	bindingprot-tf
Q07869	P05771	stimulates>	bindingprot-tf
P40763	P63000	stimulates>	bindingprot-tf
O14641	P31431	stimulates>	bindingprot-tf
O15530	P12931	stimulates>	bindingprot-tf
P51692	P00519	stimulates>	bindingprot-tf
Q9Y618	Q13555	inhibits>	bindingprot-tf
P11362	P00533	inhibits>	bindingprot-tf
P45983	P35568	inhibits>	bindingprot-tf
P40763	P49841	inhibits>	bindingprot-tf
P35222	Q00534	inhibits>	bindingprot-tf
P37231	P45983	inhibits>	bindingprot-tf
P23511	P04637	inhibits>	bindingprot-tf
P60484	P22607	inhibits>	bindingprot-tf
P00533	P16144	inhibits>	bindingprot-tf
P00519	P07948	stimulates>	bindingprot-tf
O14965	P51812	inhibits>	bindingprot-tf
O15530	Q15118	inhibits>	bindingprot-tf
P00519	Q13322	stimulates>	bindingprot-tf
Q9NQB0	P35222	stimulates>	bindingprot-tf
Q12972	P06213	inhibits>	bindingprot-tf
P06213	Q13322	inhibits>	bindingprot-tf
P84022	P45983	stimulates>	bindingprot-tf
O75676	Q02750	stimulates>	bindingprot-tf
P18846	O75676	stimulates>	bindingprot-tf
O60674	P23458	stimulates>	bindingprot-tf
P06213	P20936	inhibits>	bindingprot-tf
P05412	Q8WYK2	inhibits>	bindingprot-tf
P19838	P25963	inhibits>	bindingprot-tf
Q06413	P11802	inhibits>	bindingprot-tf
P04626	P22681	inhibits>	bindingprot-tf
P29350	P06213	stimulates>	bindingprot-tf
P12931	P42336	inhibits>	bindingprot-tf
Q15796	Q02750	inhibits>	bindingprot-tf
P16989	Q16539	inhibits>	bindingprot-tf
Q12968	P45984	inhibits>	bindingprot-tf
P51812	Q15118	inhibits>	bindingprot-tf
P51692	P49841	inhibits>	bindingprot-tf
P23443	O15530	stimulates>	bindingprot-tf
P01106	P53350	stimulates>	bindingprot-tf
P05067	O14672	stimulates>	bindingprot-tf
P35222	P45984	stimulates>	bindingprot-tf
P05412	Q13315	inhibits>	bindingprot-tf
Q9Y6Q9	Q16659	stimulates>	bindingprot-tf
P06213	P0DP24	inhibits>	bindingprot-tf
P21802	P11362	inhibits>	bindingprot-tf
Q06330	Q14469	inhibits>	bindingprot-tf
Q13043	P67775	inhibits>	bindingprot-tf
Q13485	Q15796	stimulates>	bindingprot-tf
P12931	P06213	inhibits>	bindingprot-tf
P05412	P16298	inhibits>	bindingprot-tf
P06213	P18031	stimulates>	bindingprot-tf
O14641	P12931	inhibits>	bindingprot-tf
Q04771	Q13873	stimulates>	bindingprot-tf
P01375	P78536	stimulates>	bindingprot-tf
P36956	P45983	inhibits>	bindingprot-tf
P07384	P22681	inhibits>	bindingprot-tf
P53350	O15530	stimulates>	bindingprot-tf
P12931	P18031	stimulates>	bindingprot-tf
Q01130	P49841	inhibits>	bindingprot-tf
O75469	P17252	inhibits>	bindingprot-tf
Q16236	O14920	inhibits>	bindingprot-tf
Q9UBK2	P27361	inhibits>	bindingprot-tf
P31431	P11362	inhibits>	bindingprot-tf
P37231	P04150	stimulates>	bindingprot-tf
Q99814	P48730	inhibits>	bindingprot-tf
O43524	Q14164	inhibits>	bindingprot-tf
Q9UQL6	Q05397	inhibits>	bindingprot-tf
Q13127	P53350	inhibits>	bindingprot-tf
Q15797	Q09472	stimulates>	bindingprot-tf
P49715	P11802	inhibits>	bindingprot-tf
Q9UHD2	Q14164	stimulates>	bindingprot-tf
O15379	O15111	inhibits>	bindingprot-tf
P17096	P05771	inhibits>	bindingprot-tf
P04637	P62140	inhibits>	bindingprot-tf
P60484	P37231	inhibits>	bindingprot-tf
P78347	P27361	stimulates>	bindingprot-tf
P63000	Q96N67	stimulates>	bindingprot-tf
Q15796	P51812	inhibits>	bindingprot-tf
P12931	P41240	inhibits>	bindingprot-tf
P17252	P19174	inhibits>	bindingprot-tf
P17612	P12931	inhibits>	bindingprot-tf
Q92993	P49841	stimulates>	bindingprot-tf
P45985	P67775	inhibits>	bindingprot-tf
Q9UJU2	Q15796	stimulates>	bindingprot-tf
P36402	P35222	stimulates>	bindingprot-tf
P00519	P22681	inhibits>	bindingprot-tf
Q07869	P19793	stimulates>	bindingprot-tf
P08047	P49841	inhibits>	bindingprot-tf
